PROGRAMA_PPTAL,ACT_OBRA_ACCINV,GRUPO_FN,META,AVAN_FISICO_SEM,UBIGEO,SUBGENERICA_DET,MTO_PIA
2,6,5,13,41,100101,9,17558
1,2,2,10,6,90199,20,108000
2,6,5,17,1,150303,20,600
2,6,5,5,19,20199,22,399160
2,6,5,12,51,90199,15,76743
2,6,5,22,12,200199,15,24302
2,6,5,14,26,120101,15,40284
2,6,5,8,32,50101,13,0
2,6,5,8,32,50101,19,0
1,2,2,6,6,50199,19,13952
2,6,5,27,6,150101,20,51326
1,2,2,6,6,50199,20,600
2,6,5,19,2,170199,19,1107
1,2,2,8,6,60199,7,3948
2,6,5,17,1,150303,7,7929
1,2,2,1,6,150101,17,5835
2,6,5,13,41,100101,7,0
2,6,5,22,12,200199,7,1750
1,3,2,1,6,150101,20,528000
1,2,2,18,6,210199,7,0
2,6,5,9,19,50601,13,202000
1,2,2,9,6,80199,4,615
2,6,5,20,2,180199,16,0
1,2,2,11,6,100199,7,3659
2,6,5,5,19,20199,23,11703
2,6,5,18,40,160199,20,48992
2,6,5,15,10,130101,23,1236
2,6,5,1,61303,150199,19,0
2,6,5,26,6,250199,20,0
2,6,5,24,4,220199,11,18459
1,2,2,2,6,10199,19,3419
2,6,5,5,19,20199,17,10551
2,6,5,6,36,30199,15,57620
1,2,2,13,6,130199,19,0
2,6,5,8,32,50101,23,0
2,6,5,3,0,150101,1,16412
2,6,5,8,32,50101,15,83780
1,2,2,8,6,60199,14,32400
1,2,2,19,6,220199,7,920
2,6,5,24,4,220199,20,0
2,6,5,8,32,50101,17,30164
1,2,2,1,6,150101,4,20800
1,2,2,14,6,160199,17,0
1,2,2,6,6,50199,7,1220
1,2,2,1,6,150101,19,0
2,6,5,6,36,30199,17,6480
1,2,2,17,6,200199,15,1145
2,6,5,16,1,140199,15,1505
2,6,5,7,17,40199,7,0
2,6,5,23,61,210199,19,0
1,2,2,9,6,80199,17,0
1,2,2,1,6,150101,15,219
1,2,2,2,6,10199,4,267
1,2,2,3,6,20199,20,2333
2,6,5,10,20,60199,9,0
2,6,5,15,10,130101,9,0
1,2,2,12,6,120199,7,0
2,6,5,24,4,220199,16,0
2,6,5,9,19,50601,21,73
2,6,5,24,4,220199,15,6019
2,6,5,14,26,120101,15,64479
2,6,5,14,26,120101,22,698695
2,6,5,26,6,250199,16,0
1,2,2,17,0,200199,6,0
1,2,2,15,0,170199,7,440
1,2,2,12,0,120199,13,843
2,6,5,25,0,230199,21,604
2,6,5,23,0,210199,9,25306
2,6,5,11,0,80199,15,36007
1,2,2,17,0,200199,13,115
2,6,5,17,0,150303,21,151
2,6,5,2,0,160399,4,15000
1,2,2,17,0,200199,17,161
2,6,5,22,0,200199,19,5474
2,6,5,18,0,160199,7,25108
1,4,3,1,0,150101,7,10941
1,2,2,19,0,220199,13,4600
2,6,5,9,0,50601,15,3078
2,5,5,7,0,160802,8,180000
1,2,2,2,0,10199,13,1533
2,6,5,10,0,60199,15,7202
2,6,5,5,0,20199,21,2871
2,6,5,4,0,10199,7,540
1,2,2,17,0,200199,21,308
1,2,2,15,0,170199,7,1196
2,6,5,26,0,250199,19,5158
2,6,5,26,0,250199,17,29702
2,6,5,26,0,250199,15,6622
2,6,5,26,0,250199,15,14236
2,6,5,24,0,220199,21,102
2,6,5,22,0,200199,21,133
2,6,5,18,0,160199,9,16622
2,6,5,13,0,100101,21,5893
2,6,5,19,0,170199,18,1450
1,2,2,9,0,80199,7,1496
2,6,5,25,0,230199,15,1661
2,6,5,18,0,160199,21,5439
2,6,5,15,0,130101,11,599
2,6,5,11,0,80199,9,156779
1,4,3,1,6,150101,20,624000
2,6,5,1,61303,150199,20,0
2,6,5,24,4,220199,20,0
1,2,2,4,6,30199,1,1840
1,2,2,8,6,60199,7,121346
2,6,5,8,32,50101,11,30462
2,6,5,9,19,50601,20,38407
2,6,5,22,12,200199,11,855
2,6,5,20,2,180199,18,1450
2,6,5,7,17,40199,20,504000
2,6,5,1,61303,150199,4,148647
1,2,2,1,6,150101,17,4377
2,6,5,5,19,20199,13,10222
2,6,5,9,19,50601,20,0
2,6,5,22,12,200199,13,6671
1,2,2,19,6,220199,20,0
2,6,5,15,10,130101,7,20306
1,2,2,18,6,210199,4,368
1,2,2,9,6,80199,9,0
1,2,2,18,6,210199,9,0
1,2,2,19,6,220199,1,920
2,6,5,9,19,50601,13,133
1,2,2,1,6,150101,19,0
2,6,5,8,32,50101,9,0
1,2,2,22,6,150101,20,336000
2,6,5,9,19,50601,17,10437
1,2,2,16,6,190199,19,7191
2,6,5,23,61,210199,20,0
1,3,2,1,6,150101,20,0
2,6,5,17,1,150303,22,12101
2,6,5,16,1,140199,16,0
1,4,3,1,6,150101,4,5602
2,6,5,25,4,230199,19,0
2,6,5,25,4,230199,13,4645
2,6,5,18,40,160199,15,77471
1,2,2,17,6,200199,4,4293
1,2,2,13,6,130199,20,0
1,2,2,15,6,170199,19,9582
2,6,5,6,36,30199,20,19800
2,6,5,17,1,150303,16,0
2,6,5,21,9,190199,17,1620
2,6,5,9,19,50601,11,41519
2,6,5,12,51,90199,11,43569
2,5,5,11,0,100604,8,0
1,2,2,18,6,210199,20,168000
2,6,5,25,4,230199,20,108000
1,2,2,7,6,50699,20,0
1,2,2,9,6,80199,19,0
1,2,2,6,6,50199,23,6927
1,2,2,23,6,150101,4,3907
2,6,5,20,2,180199,13,29000
1,2,2,11,6,100199,15,2219
2,6,5,21,9,190199,15,13945
1,2,2,12,6,120199,20,600
2,6,5,1,61303,150199,20,11665
1,2,2,15,6,170199,4,200
2,6,5,1,61303,150199,19,0
2,6,5,6,36,30199,13,101000
2,6,5,22,12,200199,15,15494
1,2,2,10,6,90199,15,3931
2,6,5,9,19,50601,15,29439
2,6,5,19,2,170199,22,24203
2,6,5,15,10,130101,16,0
1,2,2,2,6,10199,7,0
1,2,2,17,6,200199,19,15409
1,2,2,4,6,30199,19,2300
2,6,5,16,1,140199,17,555
2,6,5,13,41,100101,17,21658
2,6,5,13,41,100101,19,0
1,2,2,9,6,80199,19,0
1,1,1,1,6,150101,20,4200
1,2,2,17,6,200199,7,121346
1,2,2,12,6,120199,20,0
2,5,5,19,0,160510,8,0
2,6,5,16,1,140199,19,329
2,6,5,23,61,210199,11,127882
1,2,2,2,6,10199,7,121347
2,6,5,17,1,150303,20,36000
1,2,2,20,6,230199,19,3170
2,6,5,18,40,160199,17,360
2,6,5,23,61,210199,13,47525
0,7,4,1,12429,150101,19,43000
1,2,2,1,6,150101,16,0
2,6,5,6,36,30199,7,175649
1,2,2,9,6,80199,17,54
1,2,2,23,6,150101,20,0
1,2,2,20,6,230199,7,0
1,2,2,6,6,50199,4,300
1,2,2,19,6,220199,9,0
1,2,2,12,6,120199,19,18552
2,6,5,27,6,150101,20,2124000
2,6,5,12,51,90199,19,0
2,6,5,11,63,80199,22,1034836
2,6,5,11,63,80199,7,164171
1,2,2,11,6,100199,17,0
2,6,5,8,32,50101,7,106999
2,6,5,4,16,10199,6,0
1,2,2,8,6,60199,20,600
2,6,5,7,17,40199,18,12323
2,6,5,12,51,90199,15,79019
1,2,2,1,6,150101,11,8100
2,6,5,12,51,90199,20,104985
2,6,5,26,6,250199,22,284385
1,2,2,5,6,40199,15,1356
1,2,2,5,6,40199,20,108000
1,2,2,7,6,50699,20,0
